Food code,Food name,FoodEx2 code,FoodEx2 name,Facet(s) code,Facet(s) description,Reverse yield factor,Source(s),Reference(s),Reference link
A.05.04.002,Wine grapes (Vitis euvitis),A01DY,Wine grapes,F28.A07MF,PROCESS=Distillation,5.23,Assumption,15% sugar in fruit || 40% ethanol in spirit and theoretical yield of 0.51 ethanol from sugar,
A.05.04.002,Wine grapes (Vitis euvitis),A01DY,Wine grapes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.002,Wine grapes (Vitis euvitis),A01DY,Wine grapes,F28.A0C00$F10.A0F2R,"PROCESS=Winemaking, QUALITATIVE-INFO=White",1.43,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Wine => Grapes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.04.002,Wine grapes (Vitis euvitis),A01DY,Wine grapes,F28.A0C00$F10.A0F2S,"PROCESS=Winemaking, QUALITATIVE-INFO=Red",1.43,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Wine => Grapes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.04.003,Strawberries (Fragaria × ananassa),A01EA,Strawberries,F28.A07KG,PROCESS=Drying (dehydration),4.00,Extrapolation,based on 'raisins / dried grapes',
A.05.04.003,Strawberries (Fragaria × ananassa),A01EA,Strawberries,F28.A07LN,PROCESS=Juicing,1.59,Assumption,Median factor for berry juice,
A.05.04.003,Strawberries (Fragaria × ananassa),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.05.04.003,Strawberries (Fragaria × ananassa),A01EA,Strawberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.003,Strawberries (Fragaria × ananassa),A01EA,Strawberries,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.39,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Strawberry jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.003,Strawberries (Fragaria × ananassa),A01EA,Strawberries,F28.A0C6N,PROCESS=Pulping / mashing,1.00,Assumption,Default value of 1,
A.05.04.004,Blackberries (Rubus fruticosus),A01EE,Blackberries,F28.A07LN,PROCESS=Juicing,1.59,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Blackberry juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.004,Blackberries (Rubus fruticosus),A01EE,Blackberries,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",4.77,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.004,Blackberries (Rubus fruticosus),A01EE,Blackberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.004,Blackberries (Rubus fruticosus),A01EE,Blackberries,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.67,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Blackberries jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A07KG,PROCESS=Drying (dehydration),4.00,Extrapolation,based on 'raisins / dried grapes',
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A07LN,PROCESS=Juicing,1.59,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Raspberry juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",4.77,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.006,Raspberries (Rubus idaeus),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.39,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Raspberries jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.006,Raspberries (Rubus idaeus),A01EP,Raspberries (red and yellow),F28.A0C6N,PROCESS=Pulping / mashing,1.00,Assumption,Default value of 1,
A.05.04.008,Blueberries (Vaccinium corymbosum),A01EY,Blueberries,F28.A07KG,PROCESS=Drying (dehydration),4.00,Extrapolation,based on 'raisins / dried grapes',
A.05.04.008,Blueberries (Vaccinium corymbosum),A01EY,Blueberries,F28.A07LN,PROCESS=Juicing,1.59,Assumption,Median factor for berry juice,
A.05.04.008,Blueberries (Vaccinium corymbosum),A01EY,Blueberries,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",4.77,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.008,Blueberries (Vaccinium corymbosum),A01EY,Blueberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.008,Blueberries (Vaccinium corymbosum),A01EY,Blueberries,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Extrapolation,based on 'cooked currants',
A.05.04.009,Cranberries (Vaccinium macrocarpon),A01FH,Cranberries,F28.A07KG,PROCESS=Drying (dehydration),4.00,Extrapolation,based on 'raisins / dried grapes',
A.05.04.009,Cranberries (Vaccinium macrocarpon),A01FH,Cranberries,F28.A07LN,PROCESS=Juicing,1.59,Assumption,Median factor for berry juice,
A.05.04.009,Cranberries (Vaccinium macrocarpon),A01FH,Cranberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.009,Cranberries (Vaccinium macrocarpon),A01FH,Cranberries,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Extrapolation,based on 'cooked currants',
A.05.04.009,Cranberries (Vaccinium macrocarpon),A01FH,Cranberries,F28.A0BYP,PROCESS=Canning / jarring,1.00,Assumption,Default value of 1,
A.05.04.010,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)",A01FM,"Currants (black, red and white)",F28.A07LN,PROCESS=Juicing,1.67,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Currant juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.010,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)",A01FM,"Currants (black, red and white)",F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",5.01,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.010,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)",A01FM,"Currants (black, red and white)",F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.010,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)",A01FM,"Currants (black, red and white)",F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Currant jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.011,Gooseberries (Ribes uva-crispa),A0CFN,"Gooseberries (green, red and yellow)",F28.A07LN,PROCESS=Juicing,2.00,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Gooseberry juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.011,Gooseberries (Ribes uva-crispa),A0CFN,"Gooseberries (green, red and yellow)",F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",6.00,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.011,Gooseberries (Ribes uva-crispa),A0CFN,"Gooseberries (green, red and yellow)",F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.011,Gooseberries (Ribes uva-crispa),A0CFN,"Gooseberries (green, red and yellow)",F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Gooseberry jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.04.012,Rose hips (Rosa canina),A0CFR,Rose hips,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",4.77,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.04.012,Rose hips (Rosa canina),A0CFR,Rose hips,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.012,Rose hips (Rosa canina),A0CFR,Rose hips,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Extrapolation,based on 'cooked currants',
A.05.04.013,Mulberries (Morus spp.),A01FS,Mulberries (black and white),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.014,Azarole (mediteranean medlar) (Crataegus azarolus),A01FV,Azaroles,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.015,Elderberries (Sambucus nigra),A01FX,Elderberries,F28.A07LN,PROCESS=Juicing,1.59,Assumption,Median factor for berry juice,
A.05.04.015,Elderberries (Sambucus nigra),A01FX,Elderberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.016,Cloudberry (Rubus chamaemorus),A01EM,Cloudberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.017,Loganberry (Rubus loganobaccus),A01EJ,Loganberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.022,Bilberry or whortleberry (Vaccinium spp.),A01FE,Bilberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.026,Lingonberry (Vaccinium vitis-idaea),A01FK,Cowberries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.026,Lingonberry (Vaccinium vitis-idaea),A01FK,Cowberries,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Extrapolation,based on 'cooked currants',
A.05.04.029,Physalis (Physalis peruviana),A00JG,Ground cherries (physalis etc.),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.04.030,Sea buckthorn (Hippophae rhamnoides),A01FZ,Sea buckthorns,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.05.001,Olives for oil production (Olea europaea),A016M,Olives for oil production,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.05.001,Olives for oil production (Olea europaea),A016M,Olives for oil production,F28.A0C02$F02.A068M,"PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",5.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Olive oil => Olives),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.05.002,Palm nuts (palmoil kernels),A016N,Oil palms kernels,F28.A0C02$F02.A068M,"PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",2.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Oil => Palm Kernel),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.05.003,Palmfruit (Elaeis guineensis),A016P,Oil palms fruits,F28.A0C02$F02.A068M,"PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",5.26,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Oil => Palm Fruit),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.06.001,Dates (Phoenix dactylifera),A01HF,Dates,F28.A07KG,PROCESS=Drying (dehydration),1.00,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Dried Dates => Dates)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.05.06.001,Dates (Phoenix dactylifera),A01HF,Dates,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.002,Figs (Ficus carica),A01HG,Figs,F28.A07KG,PROCESS=Drying (dehydration),2.86,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Dried Figs => Fresh Figs),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.06.002,Figs (Ficus carica),A01HG,Figs,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.002,Figs (Ficus carica),A01HG,Figs,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Exotic fruit jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.06.003,Table olives (Olea europaea),A01BP,Table olives,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.003,Table olives (Olea europaea),A01BP,Table olives,F28.A0CQZ,PROCESS=Fermentation,1.00,Assumption,Default value of 1,
A.05.06.004,Kumquats (Fortunella species),A0DRT,Kumquats,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.005,Carambola (Averrhoa carambola),A01HM,Carambolas,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.006,Persimmon (Sharon fruit) (Diospyros kaki),A01HQ,Kaki,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.008,Kiwi (Actinidia deliciosa syn. A. chinensis),A01JT,"Kiwi fruits (green, red, yellow)",F28.A07LN,PROCESS=Juicing,1.85,Assumption,Median factor for berry juice,
A.05.06.008,Kiwi (Actinidia deliciosa syn. A. chinensis),A01JT,"Kiwi fruits (green, red, yellow)",F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.009,Lychee (Litchi) (Litchi chinensis),A01JV,Litchis,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.010,Passion fruit (Passiflora edulis),A01KC,Passionfruits,F28.A07LN,PROCESS=Juicing,1.85,Assumption,Median factor for berry juice,
A.05.06.010,Passion fruit (Passiflora edulis),A01KC,Passionfruits,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",5.55,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.06.010,Passion fruit (Passiflora edulis),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.05.06.010,Passion fruit (Passiflora edulis),A01KC,Passionfruits,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.011,Prickly pear (cactus fruit) (Opuntia ficus-indica),A01KD,Prickly pears,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.013,American persimmon (Virginia kaki) (Diospyros virginiana),A01KF,American persimmons,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.014,Avocados (Persea americana),A01LB,Avocados,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.014,Avocados (Persea americana),A01LB,Avocados,F28.A0C6N,PROCESS=Pulping / mashing,1.00,Assumption,Default value of 1,
A.05.06.015,Bananas (Musa × paradisica),A01LC,Cavendishes,F28.A07KG,PROCESS=Drying (dehydration),3.40,Assumption,Moisture content of 75% and 15% in raw and dried fruit respectively,
A.05.06.015,Bananas (Musa × paradisica),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.05.06.015,Bananas (Musa × paradisica),A01LC,Cavendishes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.015,Bananas (Musa × paradisica),A01LC,Cavendishes,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Exotic fruit jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.06.015,Bananas (Musa × paradisica),A01LC,Cavendishes,F28.A0C6N,PROCESS=Pulping / mashing,1.00,Assumption,Default value of 1,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07KC,PROCESS=Pickling,1.00,Assumption,Default value of 1,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07KG,PROCESS=Drying (dehydration),5.67,Assumption,Moisture content of 85% and 15% in raw and dried fruit respectively,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",30.00,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07LN$F28.A07KG,"PROCESS=Juicing, PROCESS=Drying (dehydration)",100.00,Assumption,Conversion factor of corresponding juice multiplied by 10,
A.05.06.016,Mangoes (Mangifera indica),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A07XD$F20.A07QF,"PROCESS=Unspecified, PART-CONSUMED-ANALYSED=W/o peel",1.00,RPC,RPC,
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Exotic fruit jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.06.016,Mangoes (Mangifera indica),A01LF,Mangoes,F28.A0C6N,PROCESS=Pulping / mashing,1.00,Assumption,Default value of 1,
A.05.06.017,Papaya (Carica papaya),A01LG,Papayas,F28.A07LN$F28.A07KF,"PROCESS=Juicing, PROCESS=Concentration / evaporation",15.00,Assumption,Conversion factor of corresponding juice multiplied by 3,
A.05.06.017,Papaya (Carica papaya),A01LG,Papayas,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.018,Pomegranate (Punica granatum),A01LH,Granate apples,F28.A07LN,PROCESS=Juicing,5.00,Extrapolation,"based on 'pineapple juice' (large miscellaneous fruit, inedible peel, no stone)",
A.05.06.018,Pomegranate (Punica granatum),A01LH,Granate apples,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.019,Cherimoya (Annona cherimola),A01LK,Wild sweetsops,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.020,Guava (Psidium guajava),A0CGD,Guavas,F28.A07LN,PROCESS=Juicing,5.00,Extrapolation,"based on 'pineapple juice' (large miscellaneous fruit, inedible peel, no stone)",
A.05.06.020,Guava (Psidium guajava),A0CGD,Guavas,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A07KG,PROCESS=Drying (dehydration),5.67,Assumption,Moisture content of 85% and 15% in raw and dried fruit respectively,
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A07LN,PROCESS=Juicing,5.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Juice => Pineapple),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A07LN$F28.A07KG,"PROCESS=Juicing, PROCESS=Drying (dehydration)",50.00,Assumption,Conversion factor of corresponding juice multiplied by 10,
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A07XD$F20.A07QF,"PROCESS=Unspecified, PART-CONSUMED-ANALYSED=W/o peel",1.00,RPC,RPC,
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Exotic fruit jam, >5 min recipe, corrected for sugar content)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.05.06.021,Pineapples (Ananas comosus),A01LP,Pineapples,F28.A0BYP,PROCESS=Canning / jarring,1.00,Assumption,Default value of 1,
A.05.06.022,Bread fruit (jackfruit) (Artocarpus altilis),A01LQ,Breadfruits,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.029,Pawpaw (Asimina),A01LG,Papayas,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.030,Chayote (Sechium edule),A00JZ,Chayote fruits,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.05.06.034,Longan fruit (Dimocarpus longan),A01KQ,Longans,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07GG,PROCESS=Cooking in water,1.67,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Beef (brisket, shoulder, top round), PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.06.01.001,Beef meat (Bos spp.),A01XF,Bovine liver,F28.A07GG$F02.A069M,"PROCESS=Cooking in water, PART-NATURE=Liver (as part-nature)",1.00,Assumption,Default value of 1,
A.06.01.001,Beef meat (Bos spp.),A0F1T,Animal blood,F28.A07GG$F02.A06AL,"PROCESS=Cooking in water, PART-NATURE=Blood (as part-nature)",1.00,Assumption,Default value of 1,
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07GM,PROCESS=Stewing,1.54,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Pot roast beef well done, PROCESS=braised)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07GR,PROCESS=Frying,1.67,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Rumpsteak well done, PROCESS=fry in pan with fat)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07GY,PROCESS=Roasting,1.61,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Roast beef well done, PROCESS=fry in oven)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07KD,PROCESS=Curing,2.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Beef dried salted smoked => Meat of cattle),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07KG,PROCESS=Drying (dehydration),2.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Beef dried salted smoked => Meat of cattle),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.06.01.001,Beef meat (Bos spp.),A043M,Meat extract,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.06.01.001,Beef meat (Bos spp.),A01QV,Bovine muscle,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01TX,Bovine fat tissue,F28.A07XD$F02.A069J,"PROCESS=Unspecified, PART-NATURE=Fat tissue (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01XF,Bovine liver,F28.A07XD$F02.A069M,"PROCESS=Unspecified, PART-NATURE=Liver (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01YJ,Bovine kidney,F28.A07XD$F02.A069N,"PROCESS=Unspecified, PART-NATURE=Kidney (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01ZM,Bovine edible offals (other than liver and kidney),F28.A07XD$F02.A069P,"PROCESS=Unspecified, PART-NATURE=Lung (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A01ZM,Bovine edible offals (other than liver and kidney),F28.A07XD$F02.A069Q,"PROCESS=Unspecified, PART-NATURE=Spleen (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AB,"PROCESS=Unspecified, PART-NATURE=Tongue (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AC,"PROCESS=Unspecified, PART-NATURE=Heart (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AD,"PROCESS=Unspecified, PART-NATURE=Stomach (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AE,"PROCESS=Unspecified, PART-NATURE=Bone marrow (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AF,"PROCESS=Unspecified, PART-NATURE=Tail (as part-nature)",1.00,RPC,RPC,
A.06.01.001,Beef meat (Bos spp.),A020R,Bovine other slaughtering products,F28.A07XD$F02.A06AM,"PROCESS=Unspecified, PART-NATURE=Brain (as part-nature)",1.00,RPC,RPC,
A.06.01.002,Veal meat,A01QY,Calf fresh meat,F28.A07GG,PROCESS=Cooking in water,1.43,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Veal (shoulder, leg, breast), PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
