Livsmedelsnummer,Livsmedelsnamn,Råvara nivå 1,Andel,Inkluderar,Tillagningsprocess  nivå 1,Konverteringsfaktor nivå 1,Publikation nivå 1,Foodex2 nivå 1,Rå mängd beräknad,Beräkning rå mängd,Råvara nivå 2,Tillagningsprocess nivå 2,Konverteringsfaktor nivå 2,Publikation nivå 2,Foodex2 nivå 2,Kommentar,
1989,Ostsås ädelost,Fett matfettsblandning,4,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
1989,Ostsås ädelost,"Vete, siktat",3,,"Tillagad, adderad",1,-,A003Y,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
1991,Brunsås mjölk,"Mjölk fett 1-2,5 %",85,,"Rå, tillagad ",1,-,A02LZ,85,"85 * 1,00",,,,,,Faktor = logisk slutledning,
1991,Brunsås mjölk,Fett matfettsblandning,6,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
1991,Brunsås mjölk,"Vete, siktat",4,,"Tillagad, adderad",1,-,A003Y,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
1991,Brunsås mjölk,sojasås,3,,"Rå, tillagad ",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A044R,3,"3 * 1,00",,,,,,"Fakor=logisk slutledning. Sojasås bedöms i sin tur bestå av 16% salt, 10 % torkade sojabönor, 10% fullkornsvete och 64% vatten",
1991,Brunsås mjölk,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
1992,Sky,Vatten,94,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,94,"94 * 1,00",,,,,,Faktor=logiskt slutledning,
1992,Sky,Fett matfettsblandning,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
1992,Sky,Salt,2,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
1992,Sky,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2000,Tomatsås,Tomat krossad,61,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,73.2,"61 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
2000,Tomatsås,Vatten,16,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,16,"16 * 1,00",,,,,,Faktor=logiskt slutledning,
2000,Tomatsås,"Lök (gul, röd)",15,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,15,"15 * 1,00",,,,,,,
2000,Tomatsås,Tomat ,2,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,6.4,"2 * 3,20",,,,,,,
2000,Tomatsås,Olja rapsolja,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,2,"2 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
2000,Tomatsås,Vitlök,1,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,1,"1 * 1,00",,,,,,,
2000,Tomatsås,Honung,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A033K,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2000,Tomatsås,Persilja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
2000,Tomatsås,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2002,Äggsås m persilja,Vatten,63,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,63,"63 * 1,00",,,,,,Faktor=logiskt slutledning,
2002,Äggsås m persilja,"Ägg, höna",16,"Helt ägg, höna",Tillagad,1,SLV - Riktlinjer för livsmedel,A031G,16,"16 * 1,00",,,,,,Faktor = logisk slutledning,
2002,Äggsås m persilja,Grädde fett >31%,12,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,12,"12 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
2002,Äggsås m persilja,"Vete, siktat",3,,"Tillagad, adderad",1,-,A003Y,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
2002,Äggsås m persilja,Fett matfettsblandning,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
2002,Äggsås m persilja,Persilja,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,2,"2 * 1,00",,,,,,Faktor=logisk slutledning,
2002,Äggsås m persilja,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2004,Pestosås m basilika pinjenötter cashewnötter,Olja olivolja,35,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,35,"35 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
2004,Pestosås m basilika pinjenötter cashewnötter,Basilika,29,,Rå,1,SLV - Riktlinjer för livsmedel,A00VV,29,"29 * 1,00",,,,,,"Faktor = logisk slutledning,",
2004,Pestosås m basilika pinjenötter cashewnötter,Olja solrosolja,15,,Rå,1,Användarhjälp - Riktlinjer för beräknade livsmedel,A037D,15,"15 * 1,00",Solrosfrön,Juice drickfärdig,2.5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015L,,
2004,Pestosås m basilika pinjenötter cashewnötter,Potatismjöl,5,"potatisflingor, potatisstärkelse",Rå,1,SLV - Riktlinjer för livsmedel,A011F,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
2004,Pestosås m basilika pinjenötter cashewnötter,"Ost, Extra hårdost ex parmesan",5,,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02ZS,5,"5 * 1,00",Mjölk,"Rå, tillagad ",14.7,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor Råvara nivå 2= walstra (2006), Dairy science and technology",
2004,Pestosås m basilika pinjenötter cashewnötter,Övrigt,3,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,3,"3 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2004,Pestosås m basilika pinjenötter cashewnötter,Salt,3,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
2004,Pestosås m basilika pinjenötter cashewnötter,"Nöt, cashewnöt",3,,Torkad,1,-,A014H,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
2004,Pestosås m basilika pinjenötter cashewnötter,Pinjekärnor frön,2,,Torkad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A014P,2,"2 * 1,00",,,,,,,
2007,Sweet chilisås,Socker,35,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,35,"35 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2007,Sweet chilisås,Vatten,35,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,35,"35 * 1,00",,,,,,Faktor=logiskt slutledning,
2007,Sweet chilisås,Chilipeppar,13,,"Rå, tillagad ",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JB,13,"13 * 1,00",,,,,,,
2007,Sweet chilisås,Vitlök,5,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,5,"5 * 1,00",,,,,,,
2007,Sweet chilisås,Vinäger ,5,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
2007,Sweet chilisås,Salt,4,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
2007,Sweet chilisås,"Majs, siktat",2,polenta,Rå,1,SLV - Riktlinjer för livsmedel,A002Q,2,"2 * 1,00",,,,,,,
2007,Sweet chilisås,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2012,Teriyakisås ,sojasås,42,,"Rå, tillagad ",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A044R,42,"42 * 1,00",,,,,,"Fakor=logisk slutledning. Sojasås bedöms i sin tur bestå av 16% salt, 10 % torkade sojabönor, 10% fullkornsvete och 64% vatten",
2012,Teriyakisås ,Vatten,18,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,18,"18 * 1,00",,,,,,Faktor=logiskt slutledning,
2012,Teriyakisås ,Socker,15,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,15,"15 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2012,Teriyakisås ,Vinäger ,5,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
2012,Teriyakisås ,Vin,5,glögg,Rå,1,SLV - Riktlinjer för livsmedel,A03MV,5,"5 * 1,00",druva för vintillverkning,Tillagad,1.1,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01DY,Faktor = logisk slutledning,
2012,Teriyakisås ,Stärkelsesirap,4,glukossirap; glukos-fruktossirap; stärkelsesirap,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A032Z,4,"4 * 1,00",,,,,,47% majs; 38 % vete; 15 % potatis,
2012,Teriyakisås ,Salt,4,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
2012,Teriyakisås ,Stärkelse,2,"47% majs, 38% vete och 15% potatis.  0% Tapiocasträrkelse","Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A011F,2,"2 * 1,00",,,,,,Foodex2-kod finns ännu inte i foodex2-browser ver 0.1.3 men kommer att tas med i framtida uppdateringar.,
2012,Teriyakisås ,"Lök (gul, röd)",1,,Torkad,9,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00HC,9,"1 * 9,00",,,,,,,
2012,Teriyakisås ,Vitlök,1,,Tillagad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,1,"1 * 1,00",,,,,,,
2012,Teriyakisås ,Olja sesamolja,1,,Rå,1,-,A037C,1,"1 * 1,00",Sesamfrön,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015K,,
2012,Teriyakisås ,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2012,Teriyakisås ,Sesamfrö,1,,Rå,1,SLV - Riktlinjer för livsmedel,A015K,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2052,Mörk choklad kakao >70 % ,Kakao,75,"kakaomassa, kakaosmör, kakaopulver",Pulveriserat,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A03HG,75,"75 * 1,00",,,,,,,
2052,Mörk choklad kakao >70 % ,Socker,24,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,24,"24 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2052,Mörk choklad kakao >70 % ,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2058,Rostad lök,"Lök (gul, röd)",51,,Torkad,9,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00HC,459,"51 * 9,00",,,,,,,
2058,Rostad lök,Fett vegetabiliskt fett och olja,44,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,44,"44 * 1,00",,,,,,Faktor = logisk slutledning,
2058,Rostad lök,"Vete, siktat",5,,Rå,1,-,A003Y,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,"Vete, siktat",59,,"Tillagad, adderad",1,-,A003Y,59,"59 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Fett vegetabiliskt fett och olja,16,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,16,"16 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Ost (hårdost),12,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Vasslepulver,3,,"Rå, tillagad ",1,Svensk mjölk 2001,A02MR_R,3,"3 * 1,00",,,,,,,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Socker,2,"Råsocker, farinsocker, invertsocker, sockerkulör","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A032H,2,"2 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Jäst,2,jästextrakt,"Rå, tillagad ",1,-,A049A,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Vatten,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,2,"2 * 1,00",,,,,,Faktor=logiskt slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Salt,2,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2062,Knäckemacka vete olika fyllningar typ Wasa Sandwich,Vallmofrö,1,,Torkad,1,SLV - Riktlinjer för livsmedel,A015J,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2064,Falafel kikärtskroketter frysta,Ärter utan skida (utgångsläge torkad),51,"gul ärtor, grön ärta, kikärt",Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A013J,20.4,"51 * 0,40",,,,,,,
2064,Falafel kikärtskroketter frysta,Vatten,19,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,19,"19 * 1,00",,,,,,Faktor=logiskt slutledning,
2064,Falafel kikärtskroketter frysta,"Vete, siktat",5,"kokt pasta, kokta nudlar",Tillagad,0.5,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003Y,2.5,"5 * 0,50",,,,,,,
2064,Falafel kikärtskroketter frysta,Olja rapsolja,8,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,8,"8 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
2064,Falafel kikärtskroketter frysta,"Lök (gul, röd)",10,,Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,12,"10 * 1,20",,,,,,Faktor för kokt,
2064,Falafel kikärtskroketter frysta,"Majs, stärkelse",5,"majsstärkelse, maizena","Rå, tillagad ",1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A000T,7.5,"5 * 1,50",,,,,,Råvaran är satt som majskorn. Utbytet för att få majsstärkelse är 66%. ,
2064,Falafel kikärtskroketter frysta,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2064,Falafel kikärtskroketter frysta,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2066,Sojakorv,Vatten,55,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,55,"55 * 1,00",,,,,,Faktor=logiskt slutledning,
2066,Sojakorv,Fett vegetabiliskt fett och olja,15,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
2066,Sojakorv,Stärkelsesirap,1,glukossirap; glukos-fruktossirap; stärkelsesirap,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A032Z,1,"1 * 1,00",,,,,,47% majs; 38 % vete; 15 % potatis,
2066,Sojakorv,sojaprotein,8,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,24.8,"8 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
2066,Sojakorv,Äggvita,5,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031T,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
2066,Sojakorv,Salt,2,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
2066,Sojakorv,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2066,Sojakorv,Dextrin,1,"47% majs, 38% vete och 15% potatis","Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A032Z,1,"1 * 1,00",,,,,,Foodex2-kod finns ännu inte i foodex2-browser ver 0.1.3 men kommer att tas med i framtida uppdateringar.,
2066,Sojakorv,Vetegluten,11,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,110,"11 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
2066,Sojakorv,"Lök (gul, röd)",1,,Torkad,9,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00HC,9,"1 * 9,00",,,,,,,
2072,Müslibar berikad typ Special K Chocolate,"Ris, siktat",30,Vildris,Torkad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A003F_R,30,"30 * 1,00",,,,,,,
2072,Müslibar berikad typ Special K Chocolate,Stärkelsesirap,27,glukossirap; glukos-fruktossirap; stärkelsesirap,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A032Z,27,"27 * 1,00",,,,,,47% majs; 38 % vete; 15 % potatis,
2072,Müslibar berikad typ Special K Chocolate,Socker,17,"Råsocker, farinsocker, invertsocker, sockerkulör","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A032H,17,"17 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2072,Müslibar berikad typ Special K Chocolate,"Vete, fullkorn",8,,"Tillagad, adderad",1,-,A004B,8,"8 * 1,00",,,,,,Faktor = logisk slutledning,
2072,Müslibar berikad typ Special K Chocolate,Kakao,7,"kakaomassa, kakaosmör, kakaopulver",Pulveriserat,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A03HG,7,"7 * 1,00",,,,,,,
2072,Müslibar berikad typ Special K Chocolate,Övrigt,3,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,3,"3 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
2072,Müslibar berikad typ Special K Chocolate,Mjölkpulver,2,,"Rå, tillagad ",1,-,A02PK,2,"2 * 1,00",Mjölk,Torkad,7.7,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån en torrsubstans i mjölk på 13% och en torrsubstan på 97% i mjölkpulver.",
2072,Müslibar berikad typ Special K Chocolate,"Vete, grodd",1,,"Rå, tillagad ",1,-,A004Q,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2072,Müslibar berikad typ Special K Chocolate,Malt,1,malt,Tillagad,1.2,SLV - Riktlinjer för livsmedel,A02VA,1.2,"1 * 1,20",,,,,,Referens: Kunze (2004) technology brewing and malting 3rd ed.,
2072,Müslibar berikad typ Special K Chocolate,Vetegluten,2,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,20,"2 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
2072,Müslibar berikad typ Special K Chocolate,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2072,Müslibar berikad typ Special K Chocolate,Fett vegetabiliskt fett och olja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
2073,Jordnötssås,Vatten,42,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,42,"42 * 1,00",,,,,,Faktor=logiskt slutledning,
2073,Jordnötssås,Jordnöt,22,,Tillagad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A015H,22,"22 * 1,00",,,,,,,
2073,Jordnötssås,Kokosnöt,16,,"Rå, tillagad ",1,-,A014K,16,"16 * 1,00",,,,,,Faktor = logisk slutledning,
2073,Jordnötssås,"Lök (gul, röd)",9,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,9,"9 * 1,00",,,,,,,
2073,Jordnötssås,Socker,4,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,4,"4 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
2073,Jordnötssås,Olja rapsolja,4,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,4,"4 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
2073,Jordnötssås,Citron,2,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,3.2,"2 * 1,60",,,,,,,
2073,Jordnötssås,Lime,1,,Juice drickfärdig,1.8,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01CA,1.8,"1 * 1,80",,,,,,,
2075,Coleslaw kall sås,Vitkål,30,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00FY,30,"30 * 1,00",,,,,,,
2075,Coleslaw kall sås,Morot,22,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QH,22,"22 * 1,00",,,,,,,
2075,Coleslaw kall sås,Äpple,18,"kvitten, rosenkvitten",Rå,1,SLV - Riktlinjer för livsmedel,A01DH,18,"18 * 1,00",,,,,,Faktor = logisk slutledning,
2075,Coleslaw kall sås,"Lök (gul, röd)",7,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,7,"7 * 1,00",,,,,,,
2075,Coleslaw kall sås,Fett vegetabiliskt fett och olja,6,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
